channel,n_subjects,t_delta,p_delta,mean_diff_delta,sem_delta,cohen_d_delta,t_theta,p_theta,mean_diff_theta,sem_theta,cohen_d_theta,t_alpha,p_alpha,mean_diff_alpha,sem_alpha,cohen_d_alpha,t_beta,p_beta,mean_diff_beta,sem_beta,cohen_d_beta,t_gamma,p_gamma,mean_diff_gamma,sem_gamma,cohen_d_gamma,t_exponent,p_exponent,mean_diff_exponent,t_offset,p_offset,mean_diff_offset,collinearity_r,any_band_sig,n_sig_bands,offset_only_sig
AF3,55,2.4513639382519057,0.0174983564126116,0.09855169507401759,0.04020280038234382,0.33054184600335734,2.1123971700842143,0.03929259257106972,0.08179476267718351,0.038721299117212234,0.28483557630770384,1.7556487122409412,0.08481936927456142,0.07201729138804325,0.04102033105251397,0.23673162406532214,1.2446957432424528,0.2186186428531353,0.05875008954505648,0.04720036190692797,0.16783473978052893,0.8894410190557498,0.3777114262730029,0.04803874883518905,0.05401004429297408,0.11993220254331048,1.0155532290729397,0.31437092684139695,0.0440726905427599,2.4092315834019105,0.019425911626838977,0.11608998193080333,0.6031482767873332,True,2,True
AF4,53,1.766501566178157,0.08318105836285582,0.07152992987907161,0.04049242369698392,0.24264765134647404,1.391923173270516,0.16987083787465343,0.05514314582065502,0.039616515393653934,0.19119535205368685,1.0579107095671634,0.29498600020830246,0.045581651696421824,0.043086482898987984,0.1453152116735033,0.6355519701116166,0.5278556467910298,0.03260751260509681,0.051305816264514505,0.087299777033232,0.3697380605343302,0.7130792359887198,0.022132777550255854,0.05986069575382765,0.05078742850829013,0.8698290114375863,0.38839141586245174,0.04309915715444853,1.783157520317526,0.08039775630538179,0.08868080885087039,0.6233227467233501,False,0,False
AF7,55,2.1930520249392775,0.03263038806120701,0.07892065060780547,0.03598667505846819,0.29571107471775915,1.7805298532373603,0.08061508608852305,0.06559760010955787,0.03684161767368757,0.24008659643286498,1.4194498747338384,0.16151501891945008,0.05782375817683116,0.040736738370330774,0.191398582063804,0.9684799460792508,0.3371225871052814,0.047275311961344005,0.048813929656190795,0.1305898092890078,0.6819832491407527,0.4981644134523784,0.03875897198921049,0.056832733117776514,0.09195860255458609,0.7854371172583217,0.43563006434511753,0.03504117984063503,2.1612823352620065,0.03512577265719333,0.09286493801746619,0.5678592224739926,True,1,True
AF8,55,1.2511765591970365,0.21626360780788265,0.056058734900025796,0.04480481550581672,0.16870861282557492,1.2820196068422676,0.20531264989006903,0.05379195635609493,0.04195876261876328,0.1728674885216473,1.1954202819299247,0.23714630644191337,0.052469317963383715,0.043891942236980924,0.16119043793258508,1.0100475415130725,0.316977093461412,0.05067460949506261,0.05017051912145736,0.13619478271388988,0.8568005175385162,0.3953415708655047,0.04922564277950495,0.057452863031553995,0.11553095821658045,0.12374231419550989,0.9019787580898262,0.005961892483048073,1.0695287918454244,0.28958904365692345,0.05843121044643166,0.6419597851708124,False,0,False
C1,54,-0.050480940113390355,0.9599289096997188,-0.0031122634506247186,0.06165224822742897,-0.006869585834100086,-0.0807592386597556,0.9359376181627195,-0.004883011812845438,0.060463816819991495,-0.01098994037400278,-0.09742748062145004,0.9227544340296097,-0.005916222478251952,0.060724370993838594,-0.013258200802636039,-0.11767943819945952,0.906766507422295,-0.007318201992065553,0.06218760136891241,-0.01601414315589239,-0.13152652643420784,0.8958568254149802,-0.008450097053166765,0.06424633328542793,-0.01789849318913848,0.15786036747899573,0.87516674226418,0.00465727513539385,-0.019374340633904752,0.9846152347642911,-0.0012589473428581328,0.3665390112634171,False,0,False
C2,54,-0.15687774851731215,0.8759372888596266,-0.010114344644816912,0.06447278049570396,-0.021348357548004165,-0.04284798497157644,0.965983733325752,-0.0026368911286994167,0.061540609913129395,-0.005830872204822459,0.028294083804076466,0.9775338722721507,0.0017261143032212762,0.061006191795211495,0.003850337114418497,0.12388076454197564,0.901878312888013,0.007646343777239927,0.06172341449062536,0.01685803678187263,0.1957541776177114,0.8455511736935893,0.012426070182799587,0.06347793101543138,0.02663876945453003,-0.5866537709377366,0.5599268690310002,-0.019666576617923676,-0.2565160013773629,0.7985455564209398,-0.01794046231470263,0.4891088517909111,False,0,False
C3,53,0.8325066886534584,0.40893024898320207,0.028960482526888036,0.03478708690464734,0.1143535882444947,0.9526659339098593,0.34516684544252396,0.034022117906093094,0.03571253751717782,0.13085872993656278,0.9442326511999688,0.34941752818833904,0.036975522110649105,0.03915933436919294,0.1297003294675935,0.8853281629109073,0.3800554013177404,0.04098304190252977,0.04629135683177628,0.12160917573709905,0.8278943375533155,0.4115138972374749,0.04421853273174751,0.05341084088390673,0.11372003309624974,-0.32802266242034317,0.7442116859689055,-0.013312692587464982,0.5822040085181545,0.5629451876211335,0.023662829523184048,0.5351786290517261,False,0,False
C4,55,1.5713774627185002,0.12193656739196282,0.06063759262560324,0.038588813995524364,0.21188449384853028,1.5231789968930123,0.13354917643912648,0.051006709311390286,0.03348700935046637,0.2053854140424336,1.363899690207402,0.17825755412473945,0.0453872031354528,0.03327752287160573,0.18390819671029782,1.0374878592518613,0.3041320966637706,0.037762008390378035,0.03639754244219151,0.13989483440297767,0.7668109368585326,0.44653350743430187,0.03160576988129361,0.041217161052470086,0.1033967656330665,0.6536635614033388,0.5161025277283298,0.02533034865265246,1.4622297714006522,0.14947405205408743,0.07071755178810545,0.7292033697890073,False,0,False
C5,54,-0.3495874365268752,0.7280336438229543,-0.013630944087691346,0.038991515894031395,-0.04757282444324701,-0.6103852837558047,0.5442152168856988,-0.02480667095899761,0.04064100432821371,-0.08306291620586906,-0.7161107023290534,0.4770665169068292,-0.03132757502614703,0.04374683261157573,-0.09745032333623745,-0.8054578511429094,0.42415449683919415,-0.04017589049537524,0.04987956904059899,-0.10960893025659645,-0.8451093717510898,0.40184883014856976,-0.047319621541374764,0.0559923048105918,-0.11500481875745723,0.7888316167932264,0.43372494945332163,0.02939346774965482,-0.045426025157871544,0.9639384654744718,-0.001934107276492376,0.4057592672120285,False,0,False
C6,55,0.5264524276472804,0.6007297045842059,0.018746916878906107,0.03560989729439791,0.07098683086264729,-0.2466139190307239,0.8061421427170519,-0.008480809674059906,0.03438901464845275,-0.03325341405840704,-0.662457149671037,0.5104959049791737,-0.02436786515269098,0.03678406243300653,-0.08932570383920091,-1.0694708902465748,0.2896148830936574,-0.045925256168489526,0.04294203478310765,-0.14420742542253637,-1.2772365931671406,0.20698320879819632,-0.06332972191181492,0.04958339140188377,-0.17222254708926124,1.7631930899235204,0.08352571335472772,0.07161210286785348,1.0930092416837158,0.2792419123128614,0.04724423771516248,0.6165687487422221,False,0,False
CP1,55,0.21056597099384414,0.8340185168765301,0.00811755639602461,0.0385511313044116,0.028392709736697747,0.2588602020405444,0.7967273176169587,0.009135467934087867,0.035291125719885706,0.03490470252258842,0.2785905289740254,0.7816231577362094,0.00972940724246524,0.03492368271920819,0.037565139263569955,0.2899998390352217,0.7729270593940418,0.01053533266568523,0.03632875349425856,0.03910357031838176,0.28747146762299636,0.7748516842950763,0.011186000522933526,0.03891168962063176,0.0387626447867061,-0.0913746527817877,0.9275330246807418,-0.002677226305779201,0.15753534632203145,0.8754105439931466,0.007052180936686012,0.6262386838769659,False,0,False
CP2,55,-0.3241155557332222,0.7471026614207561,-0.012243219926755571,0.03777424350725364,-0.04370373261950713,-0.6045541207625013,0.5480072028376168,-0.024252490491518747,0.040116326493532126,-0.08151806101393291,-0.7182026927923657,0.47572831689657447,-0.031259757416619655,0.04352497941087076,-0.09684243134026861,-0.8166960725390179,0.417690608185076,-0.04076802616155187,0.04991823461916325,-0.11012327595601519,-0.8630172328076724,0.3919448612479832,-0.04844457373301926,0.05613395873384068,-0.11636921993246811,0.8636257314339283,0.39161336835834226,0.03158578507752951,0.008025845976105327,0.9936259476512858,0.00032602766090984145,0.3679620854665275,False,0,False
CP3,55,-0.01732762848970981,0.986239109242518,-0.0006036836397230677,0.034839368819661126,-0.002336456948915302,-0.13222227228114636,0.895299935849917,-0.0045120337558634685,0.03412461212487302,-0.017828847557305242,-0.19001707069949872,0.8500082581584318,-0.006792509689256253,0.03574683929318237,-0.025621896586254037,-0.247241943086254,0.8056586075799859,-0.00988692271402304,0.03998885703051541,-0.033338096804779435,-0.27699885083195713,0.7828385861903688,-0.012385212300447276,0.044712143257088215,-0.03735051742667632,0.31514192959255116,0.7538685122433606,0.01027941756415766,0.08731373411249405,0.9307451185063537,0.0034869078749014256,0.5300660133016012,False,0,False
CP4,54,-0.24859189993951317,0.804637239732597,-0.008328234632135776,0.03350163313511898,-0.03382907272448998,-0.28295306896872235,0.7783150362252964,-0.00976687144548569,0.03451763743394959,-0.038505035562661466,-0.28399425617496915,0.7775213382181997,-0.01060629896150834,0.03734687843466028,-0.03864672319499583,-0.2721360091729993,0.7865748181404919,-0.011745331126194424,0.04315978308746275,-0.03703302017284504,-0.2584165192582404,0.7970863838861926,-0.012664934350735589,0.04900977068760563,-0.03516603407159953,0.10831357895613812,0.9141559742047082,0.0037837829488514283,-0.18054787444026885,0.857411088063971,-0.006822516012656759,0.47478267920041667,False,0,False
CP5,55,1.9839164436489998,0.05235813674722808,0.06922740191058846,0.03489431328229687,0.267511238689344,1.8403539505102773,0.07121414007638582,0.06313025140746314,0.03430332050525332,0.24815327606354262,1.6351657451983983,0.10783097190659596,0.059572636410989685,0.03643217000229026,0.22048570410347298,1.3134693363603214,0.19457842232268735,0.054745253661189895,0.041679887109425245,0.1771081691847629,1.07415136682781,0.2875313001858358,0.050847842437483234,0.04733768815809208,0.14483854075600258,0.44372961554797774,0.659011042230054,0.01603621838133348,1.8530411681656653,0.06934383376653516,0.07560885479232297,0.5573141500143814,False,0,False
CP6,55,1.4575152771580797,0.15076547534891227,0.04946745966788913,0.03393958227617533,0.19653131987961028,0.8972545411723168,0.3735660894593108,0.029879551091945702,0.03330108650428927,0.12098577765057908,0.5149122376083548,0.6087157132289597,0.018450238782267224,0.0358318125589017,0.0694307519552386,0.07017775196198987,0.9443114309724892,0.002941628339456253,0.04191682203000057,0.009462766144150618,-0.19815583502417328,0.8436672481024652,-0.009579324635821155,0.04834237979745871,-0.026719327343917302,1.331338879183285,0.18867084882539634,0.05151848874263731,1.7170443460945715,0.09170219586708576,0.06996872752490456,0.5942272411125369,False,0,False
CPz,53,-1.385982372246975,0.1716674454128963,-0.06742830738102093,0.048650191179347525,-0.1903793202747863,-1.0766980134683382,0.28658517544821926,-0.05153848813761434,0.04786717119649437,-0.1478958463324441,-0.8641179053946361,0.39149174062864567,-0.042266967088129756,0.048913425846472604,-0.1186957228031671,-0.5711846026470955,0.5703350527722425,-0.029686296941684103,0.05197320936892566,-0.07845823913841289,-0.3510761485792774,0.7269496779391287,-0.01952923097616802,0.055626766600916144,-0.048224017757783275,-1.2668595474920668,0.21085045020602008,-0.04179208161198852,-1.5934321806034344,0.11712433719306513,-0.08405904870011827,0.4248364425752176,False,0,False
Cz,55,-0.6285419870842072,0.532298646883706,-0.9150936899546323,1.4558990628450015,-0.08475258424890908,-0.6221479928027313,0.5364627711205113,-0.9100225262919784,1.4627107003791708,-0.08389041823587672,-0.618391250695265,0.5389172050697351,-0.9070635624470506,1.4668117658961501,-0.08338385923344398,-0.613265717545327,0.5422752344695099,-0.9030484986932598,1.4725240183126895,-0.08269273248449618,-0.6091059391689816,0.5450084062353497,-0.8998069172092614,1.4772584855056416,-0.08213182808265426,-0.23953421608816794,0.8115982528412118,-0.013337753086482112,-0.6351683036407318,0.5280010411579693,-0.9204013155335329,-0.3014216397737547,False,0,False
F1,55,1.7782980770074055,0.08098495985857079,0.11788732641891968,0.06629221947835956,0.23978566378740812,1.7545055243071113,0.08501684091653483,0.10550788674398458,0.06013539728559801,0.23657747663577058,1.7034340036455051,0.09423625569581977,0.09828463053390492,0.05769793858967637,0.2296909941946019,1.5800352278793368,0.11993919484095987,0.08848328259139729,0.056000828987943625,0.21305190666466528,1.4365541081376743,0.15661337955466118,0.0805701160872149,0.05608568144479062,0.1937049164254851,0.9208878112098675,0.3612048935414448,0.03255937309798192,1.7490320204168952,0.08596762370233056,0.13084400363188675,0.6649293439582473,False,0,False
F2,55,2.6893706120936036,0.009502967220561731,0.17242308507845863,0.0641128018217734,0.36263465935723854,2.66770313915848,0.010060039024428773,0.15928436209448318,0.059708428481562235,0.3597130179026813,2.611388308618569,0.011650484990571598,0.151618073079911,0.05806033234487341,0.3521195277017516,2.4756016350603884,0.016469251214583588,0.1412155670806373,0.0570429285070304,0.33381005637429817,2.318301681716876,0.024248928299229408,0.13281705266038998,0.057290668297332654,0.3125997349923641,1.1336170895478572,0.2619630280716353,0.03455637693622181,2.641110105140171,0.010784543991487448,0.18617445001613284,0.5880517098842674,True,5,True
F3,55,1.999631445204633,0.0505815831087407,0.08117577503490417,0.040595368326285255,0.2696302490668275,1.937458324868166,0.057926896121292724,0.06957480542292092,0.035910349414950714,0.26124682723087617,1.7689306895363537,0.08255290266538391,0.06280577726065514,0.03550493958421677,0.23852256551848353,1.4161534156140096,0.16247324537884994,0.053620778373530374,0.037863679021161493,0.1909540876067632,1.1039608442782947,0.2745052915564835,0.04620522431291699,0.04185404269761331,0.14885804987544618,0.8307210889318013,0.40978919251064017,0.030511905854648125,1.8888240052423115,0.06429093053973106,0.09331768311530327,0.6969272303442362,False,0,False
F4,55,1.5973487071513233,0.11602395597799109,0.06508945694797767,0.04074843311079945,0.21538645573345194,1.2247282606621301,0.22599351162856587,0.04988813400491171,0.04073404330356554,0.16514232497865078,0.9420894759540063,0.35034257268973457,0.04101834237999268,0.04353975224959974,0.12703131902325177,0.5801200383336441,0.5642465963970831,0.02898278509600012,0.04995997928161769,0.07822337001134272,0.3397579826546177,0.735356776342833,0.019265818683062395,0.05670453577730102,0.04581295703530638,0.9488767937614837,0.34691066703215845,0.039981255879321005,1.7224508633248803,0.09071131920327609,0.08099959825931367,0.5276701890548475,False,0,False
F5,55,1.8391658502550217,0.07139144242407897,0.06605802910005823,0.03591738564028824,0.24799307265780546,1.2559643920502537,0.21453587326332213,0.04540933364866356,0.036154953067209755,0.16935420407580212,0.8457587108009132,0.4014195521768714,0.03336106477981353,0.03944513293658117,0.11404208129981293,0.3648058013517549,0.7166812281538452,0.017012582619691165,0.04663462740080498,0.04919040421942919,0.07068452006882188,0.9439099714550673,0.0038135550795453358,0.053951771559491005,0.009531098741735997,1.284537361465423,0.20443733306197562,0.054308482196475424,2.051825967089934,0.045048780647315795,0.08766954697628894,0.5694025774597765,False,0,True
F6,54,1.8830912103392163,0.06518088481578328,0.07164039863608898,0.03804404069369737,0.25625625580283723,1.6827254904886717,0.09831114469977727,0.06716792325857049,0.03991615010185921,0.22898993493732187,1.4684362055631124,0.14789620153101535,0.0645582869266048,0.04396397111568639,0.19982885685879412,1.1757340587790777,0.2449556957264258,0.06101723107186263,0.0518971366154222,0.15999713984556582,0.9748569334995332,0.33405983644341464,0.058158342198255615,0.05965833570006965,0.1326612255160094,0.26954858344887644,0.7885542525769504,0.011763132929433437,1.7582015316798936,0.08448671052143526,0.07632141985603819,0.48986153555800266,False,0,False
F7,54,1.001763095351571,0.32100988722356105,0.03919048062917265,0.03912150568435411,0.13632269037568887,1.2279919083457376,0.2248757501589444,0.04736941308659196,0.038574694804304234,0.1671085324285347,1.2550050364724776,0.21498269276734608,0.05214172316008372,0.04154702303557424,0.17078455355447567,1.2068330328581172,0.23285541618972933,0.05861734442553937,0.04857121310867432,0.16422917417988178,1.1410932566921177,0.2589609629805831,0.0638454691275858,0.05595114049895063,0.15528312376813302,-0.4848346918071681,0.6297915036272883,-0.021511548213566937,0.6553430229353698,0.5150815170076686,0.030630174946516847,0.5851652101138942,False,0,False
F8,55,1.5749403741933106,0.12111137941218555,0.06730745590314985,0.042736510540994255,0.2123649167337874,1.0931421536717876,0.27918408680447715,0.04444657582421805,0.04065946562844103,0.1473992579316583,0.7328107268693548,0.46684307936814395,0.03110752346529954,0.04244960168390845,0.0988121782533815,0.2713278101431141,0.7871734862018663,0.013007557246374675,0.047940376032643804,0.036585834456188036,-0.02957881203172547,0.9765120137028354,-0.0016055395695511458,0.05428005586664825,-0.00398840620072308,1.3902072496712163,0.17016993098474525,0.060126786299159456,1.7937616287447964,0.0784510337451514,0.09123430976445907,0.6035924132416163,False,0,False
FC1,53,1.076531209306918,0.2866590238356035,0.05771098418059773,0.05360827784802697,0.14787293401876242,1.0992354506994062,0.276728690876052,0.05873341522646659,0.05343115088682459,0.15099160142046175,1.0877225817771088,0.2817336180124629,0.05932999161403972,0.05454515021385973,0.1494101872526277,1.0479778649686335,0.29949547822744405,0.06013949533076116,0.05738622669531399,0.14395083053783458,1.002149806465498,0.32091199928446745,0.06079305214087961,0.06066263920689846,0.13765586257717033,-0.08575221991810404,0.9319927199144591,-0.002689113139491457,1.0015594701434667,0.32119443760824223,0.05664087847454842,0.3401370632666782,False,0,False
FC2,52,0.4592393249163888,0.6480138035150078,0.022824703199552286,0.04970110781281167,0.06368503591136565,0.5808890299454834,0.5638735748382725,0.028149298380457655,0.048458994626046706,0.08055481472396064,0.6383664357545191,0.5260915122604801,0.03125613651017593,0.04896268782244582,0.08852549679415797,0.6949129195356164,0.4902639169203289,0.03547185316548784,0.051045033367910796,0.09636708320646331,0.7228043260328042,0.4731019224929217,0.038875432757153966,0.053784172779549215,0.10023492537071026,-0.4668037332429241,0.6426284011809893,-0.014004307597365038,0.32166375858772,0.7490221294585151,0.017251828912810945,0.42858222684130637,False,0,False
FC3,55,1.424158281543218,0.16015397711849239,0.05553259239291299,0.038993272807245745,0.19203346350846495,1.0926009889603732,0.2794195816074523,0.042551098021434766,0.03894477348214996,0.14732628729685718,0.8507214291084662,0.39868071191635246,0.03497655003726782,0.04111398730595317,0.11471125409989213,0.5347475761729445,0.5950195532634297,0.02469852885944506,0.046187266590727326,0.07210534846167027,0.31769671968930646,0.7519402703177944,0.016400517872517735,0.05162318921188965,0.04283821694391072,0.9409186562996199,0.35093681137263544,0.03414284731045647,1.5724533784134749,0.12168690513622596,0.06911939734772429,0.48855752356392307,False,0,False
FC4,55,2.4000948629382024,0.019868282475656293,0.08568288583330334,0.035699791352584345,0.323628725298334,2.181850027307596,0.03349186483599667,0.07766466554592019,0.035595785491158806,0.29420059766524054,1.9380074393224611,0.05785822933572708,0.07298612911733732,0.03766039677476868,0.26132086980878866,1.5676788461708284,0.12279795864741973,0.06663775075935463,0.04250727176814452,0.21138577249498133,1.2897653405097065,0.20262870357268936,0.061512356244952895,0.047692672700170115,0.17391192303630015,0.6179244988960105,0.5392225568462643,0.02108885642435838,2.3209567588707656,0.024094191517185483,0.09407498554169581,0.5021818259298468,True,2,True
